cust_key,birthdate
CUST000333,1981-02-03
CUST000334,1968-04-11
CUST000335,1962-03-25
CUST000336,1962-07-23
CUST000337,1982-05-28
CUST000338,1994-07-20
CUST000339,1995-09-13
CUST000340,1962-05-26
CUST000341,1985-05-12
CUST000342,1991-07-19
CUST000343,1965-06-10
CUST000344,1964-04-10
CUST000345,1993-02-26
CUST000346,1985-03-29
CUST000347,1995-05-26
CUST000348,1998-09-16
CUST000349,1974-02-28
CUST000350,2000-12-15
CUST000351,1966-09-19
CUST000352,1985-03-28
CUST000353,1970-05-31
CUST000354,1970-05-31
CUST000355,1961-05-06
CUST000356,1975-04-18
CUST000357,1993-05-16
CUST000358,1981-12-02
CUST000359,1965-08-25
CUST000360,1983-01-20
CUST000361,1993-04-05
CUST000362,1980-09-01
CUST000363,1997-09-12
CUST000364,1966-09-14
CUST000365,1997-10-29
CUST000366,1984-04-16
CUST000367,1980-12-08
CUST000368,1961-06-14
CUST000369,1976-07-19
CUST000370,2001-10-04
CUST000371,1980-11-29
CUST000372,1976-08-27
CUST000373,2000-09-11
CUST000374,2000-01-04
CUST000375,1989-05-17
CUST000376,1967-12-16
CUST000377,1982-03-21
CUST000378,1975-05-22
CUST000379,1980-07-20
CUST000380,2000-03-08
CUST000381,1964-08-24
CUST000382,2003-01-28
CUST000383,1982-02-20
CUST000384,2004-07-14
CUST000385,2000-10-01
CUST000386,1995-06-23
CUST000387,2000-06-18
CUST000388,1979-03-03
CUST000389,1974-12-02
CUST000390,1970-10-06
CUST000391,1996-07-25
CUST000392,1986-05-24
CUST000393,1970-01-19
CUST000394,2002-02-25
CUST000395,1986-10-05
CUST000396,1966-06-13
CUST000397,2004-06-12
CUST000398,1993-09-01
CUST000399,1978-11-03
CUST000400,1974-01-15
CUST000401,1962-02-28
CUST000402,1978-01-29
CUST000403,1978-03-18
CUST000404,1966-08-20
CUST000405,1978-01-21
CUST000406,1976-03-13
CUST000407,2004-03-11
CUST000408,1965-02-18
CUST000409,1972-02-25
CUST000410,1994-12-28
CUST000411,1975-08-25
CUST000412,1973-05-25
CUST000413,1975-10-17
CUST000414,1976-06-16
CUST000415,1996-09-13
CUST000416,1991-03-10
CUST000417,1991-06-09
CUST000418,1965-10-03
CUST000419,1977-04-18
CUST000420,1999-04-12
CUST000421,1978-01-28
CUST000422,1981-05-31
CUST000423,1976-02-23
CUST000424,1971-09-03
CUST000425,1974-01-29
CUST000426,1985-08-10
CUST000427,1963-01-08
CUST000428,1996-06-26
CUST000429,1964-09-29
CUST000430,1990-04-24
CUST000431,1999-11-28
CUST000432,1968-11-10
CUST000433,1989-08-24
CUST000434,1989-09-11
CUST000435,1979-12-29
CUST000436,1997-02-28
CUST000437,1966-06-29
CUST000438,1981-11-20
CUST000439,1985-01-05
CUST000440,1973-07-12
CUST000441,1999-05-12
CUST000442,1961-10-16
CUST000443,1997-09-05
CUST000444,1980-06-05
CUST000445,1985-05-10
CUST000446,1962-03-15
CUST000447,2002-02-15
CUST000448,1996-12-10
CUST000449,1999-09-07
CUST000450,1985-04-10
CUST000451,1970-07-06
CUST000452,1980-04-02
CUST000453,1985-08-25
CUST000454,2004-09-14
CUST000455,1962-08-09
CUST000456,2002-05-10
CUST000457,1966-06-03
CUST000458,1991-03-12
CUST000459,1972-07-15
CUST000460,1961-11-21
CUST000461,1961-11-08
CUST000462,1970-03-05
CUST000463,1967-09-18
CUST000464,1981-11-22
CUST000465,1988-10-06
CUST000466,1973-05-15
CUST000467,1981-08-19
CUST000468,1985-12-17
CUST000469,1995-09-28
CUST000470,1991-08-06
CUST000471,1976-12-02
CUST000472,1999-04-29
CUST000473,1991-11-23
CUST000474,1981-11-14
CUST000475,1997-01-01
CUST000476,1970-11-23
CUST000477,1999-01-12
CUST000478,1980-04-04
CUST000479,1990-06-16
CUST000480,1994-06-19
CUST000481,1990-09-07
CUST000482,1997-06-15
CUST000483,1989-12-11
CUST000484,1987-05-01
CUST000485,1967-03-06
CUST000486,1981-12-06
CUST000487,1968-12-30
CUST000488,1991-07-13
CUST000489,1983-08-06
CUST000490,1968-01-20
CUST000491,2004-06-05
CUST000492,1980-01-19
CUST000493,2001-03-02
CUST000494,2000-01-15
CUST000495,1961-01-03
CUST000496,1975-05-29
CUST000497,1977-04-27
CUST000498,1963-11-26
CUST000499,2004-05-08
CUST000500,1978-11-11
CUST000501,1987-05-09
CUST000502,1969-07-29
CUST000503,1988-10-10
CUST000504,1989-07-18
CUST000505,1981-12-13
CUST000506,1964-04-15
CUST000507,1970-04-29
CUST000508,2000-10-25
CUST000509,1961-05-10
CUST000510,1998-08-11
CUST000511,1967-11-24
CUST000512,1972-05-28
CUST000513,1972-11-08
CUST000514,1980-08-24
CUST000515,1987-05-16
CUST000516,1964-09-19
CUST000517,1961-11-09
CUST000518,1991-07-16
CUST000519,2000-07-06
CUST000520,1991-11-23
CUST000521,2004-03-15
CUST000522,1970-04-25
CUST000523,2002-02-23
CUST000524,1968-10-30
CUST000525,1992-09-16
CUST000526,1997-11-11
CUST000527,1995-10-03
CUST000528,1994-11-03
CUST000529,1966-12-04
CUST000530,1990-06-16
CUST000531,1994-04-21
CUST000532,1979-08-10
CUST000533,1960-02-09
CUST000534,1990-04-17
CUST000535,1968-03-17
CUST000536,1981-07-23
CUST000537,1966-05-16
CUST000538,2002-02-19
CUST000539,1990-12-16
CUST000540,1980-10-05
CUST000541,1971-03-29
CUST000542,1995-02-14
CUST000543,1967-06-06
CUST000544,2001-09-01
CUST000545,1984-12-01
CUST000546,1969-04-26
CUST000547,2001-03-10
CUST000548,1968-09-20
CUST000549,1977-05-04
CUST000550,1991-01-11
CUST000551,1967-04-24
CUST000552,1981-08-01
CUST000553,1982-05-02
CUST000554,1961-06-04
CUST000555,1998-09-03
CUST000556,1997-04-08
CUST000557,1981-11-30
CUST000558,1995-12-10
CUST000559,1985-03-29
CUST000560,1996-11-21
CUST000561,1969-06-29
CUST000562,1997-04-08
CUST000563,1992-03-24
CUST000564,1964-02-13
CUST000565,1962-02-07
CUST000566,1965-09-18
CUST000567,1989-09-02
CUST000568,1994-02-22
CUST000569,1965-01-05
CUST000570,1979-04-26
CUST000571,2000-12-15
CUST000572,2001-09-18
CUST000573,1984-03-05
CUST000574,1982-04-20
CUST000575,1995-11-30
CUST000576,1964-07-05
CUST000577,1966-10-16
CUST000578,1960-06-22
CUST000579,1972-09-25
CUST000580,1995-09-15
CUST000581,1998-10-20
CUST000582,1980-06-11
CUST000583,1983-12-04
CUST000584,1986-07-16
CUST000585,2003-04-03
CUST000586,1975-08-18
CUST000587,1963-06-11
CUST000588,1988-08-12
CUST000589,1982-02-17
CUST000590,1961-11-23
CUST000591,1962-12-09
CUST000592,1984-02-22
CUST000593,1964-11-01
CUST000594,1982-03-20
CUST000595,1960-05-07
CUST000596,1968-03-13
CUST000597,1999-12-27
CUST000598,1976-07-22
CUST000599,1989-08-05
CUST000600,2004-05-07
CUST000601,1967-03-03
CUST000602,1977-03-08
CUST000603,1974-05-29
CUST000604,1980-02-11
CUST000605,1972-07-30
CUST000606,1965-06-16
CUST000607,1962-09-24
CUST000608,1963-01-09
CUST000609,1974-06-21
CUST000610,1965-11-05
CUST000611,1994-08-24
CUST000612,2002-02-05
CUST000613,1972-10-21
CUST000614,1982-01-04
CUST000615,2004-03-10
CUST000616,2004-05-14
CUST000617,1980-12-06
CUST000618,1972-07-21
CUST000619,1976-07-05
CUST000620,1986-05-19
CUST000621,1965-04-19
CUST000622,1995-07-07
CUST000623,1987-02-09
CUST000624,1991-12-21
CUST000625,1978-02-20
CUST000626,2000-06-18
CUST000627,1973-01-22
CUST000628,1972-01-25
CUST000629,2004-12-19
CUST000630,1965-02-11
CUST000631,1970-11-01
CUST000632,1977-01-06
CUST000633,1984-04-25
CUST000634,1982-10-12
CUST000635,2001-09-17
CUST000636,1969-02-12
CUST000637,1966-02-03
CUST000638,1998-01-12
CUST000639,2002-12-23
CUST000640,1961-02-11
CUST000641,1996-12-13
CUST000642,1973-07-15
CUST000643,1975-03-29
CUST000644,1983-02-28
CUST000645,1989-01-11
CUST000646,1966-04-24
CUST000647,1990-04-01
CUST000648,1978-02-05
CUST000649,1964-05-31
CUST000650,1983-07-17
CUST000651,1983-02-18
CUST000652,1975-11-23
CUST000653,1983-10-26
CUST000654,1982-12-02
CUST000655,1993-04-03
CUST000656,1971-05-07
CUST000657,1979-04-24
CUST000658,1996-01-11
CUST000659,1982-01-07
CUST000660,1983-11-26
CUST000661,1982-07-01
CUST000662,1980-05-10
CUST000663,1998-06-25
CUST000664,2002-04-06
CUST000665,1974-08-02
CUST000666,1966-02-02
CUST000667,2002-03-31
CUST000668,1976-02-22
CUST000669,1987-07-27
CUST000670,1967-01-27
CUST000671,1966-02-08
CUST000672,2004-02-25
CUST000673,1970-08-24
CUST000674,2001-04-20
CUST000675,1983-02-22
CUST000676,1968-01-01
CUST000677,1983-01-09
CUST000678,2003-10-16
CUST000679,1995-11-19
CUST000680,1998-12-17
CUST000681,2003-12-03
CUST000682,1978-11-26
CUST000683,1964-03-11
CUST000684,1968-01-02
CUST000685,1987-08-11
CUST000686,1980-09-22
CUST000687,1988-07-20
CUST000688,1960-10-11
CUST000689,1982-05-18
CUST000690,1964-03-20
CUST000691,1963-12-20
CUST000692,1964-07-22
CUST000693,1999-12-30
CUST000694,2001-12-01
CUST000695,1981-09-22
CUST000696,2003-06-11
CUST000697,1960-02-25
CUST000698,1962-11-04
CUST000699,1982-02-03
CUST000700,1989-11-23
CUST000701,1971-09-01
CUST000702,1962-11-01
CUST000703,1969-01-15
CUST000704,1972-02-01
CUST000705,1978-01-12
CUST000706,1973-06-02
CUST000707,1997-07-02
CUST000708,2000-02-17
CUST000709,1991-11-06
CUST000710,1966-08-14
CUST000711,2002-12-10
CUST000712,2000-12-29
CUST000713,1963-12-25
CUST000714,1999-07-06
CUST000715,1985-06-09
CUST000716,2003-04-14
CUST000717,1981-09-21
CUST000718,1974-01-30
CUST000719,2000-03-10
CUST000720,1963-03-25
CUST000721,1973-01-05
CUST000722,1965-10-14
CUST000723,1986-03-08
CUST000724,1983-01-18
CUST000725,1983-03-04
CUST000726,1963-04-08
CUST000727,1964-06-24
CUST000728,1961-12-16
CUST000729,1966-10-09
CUST000730,2000-05-08
CUST000731,2000-05-03
CUST000732,1992-02-27
CUST000733,2002-07-29
CUST000734,1970-03-19
CUST000735,1995-03-27
CUST000736,1998-11-30
CUST000737,1983-10-10
CUST000738,1983-06-15
CUST000739,1970-10-20
CUST000740,1965-12-26
CUST000741,1997-03-30
CUST000742,1982-06-02
CUST000743,1995-07-05
CUST000744,1969-03-20
CUST000745,1977-12-26
CUST000746,1975-07-09
CUST000747,1968-09-09
CUST000748,1989-02-08
CUST000749,1987-09-02
CUST000750,1973-02-15
