ord_id,ord_number,cust_id,prd_key,qty,unit_price,order_date,ship_date,due_date,channel,status
47,ORD00000047,72,PRD-0025,1,1147,2024-02-26 07:54:18,2024-03-01 07:54:18,2024-03-12 07:54:18,Phone,Delivered
48,ORD00000048,729,PRD-0012,3,1272,2025-01-01 13:31:48,2025-01-03 13:31:48,2025-01-15 13:31:48,Store,Pending
49,ORD00000049,453,PRD-0018,4,391,2023-11-08 13:41:28,2023-11-09 13:41:28,2023-11-16 13:41:28,Web,Pending
50,ORD00000050,36,PRD-0017,4,1158,2025-06-19 17:18:07,2025-06-21 17:18:07,2025-06-30 17:18:07,Web,Cancelled
51,ORD00000051,382,PRD-0017,3,784,2022-02-17 12:50:36,2022-02-21 12:50:36,2022-03-04 12:50:36,Web,Returned
52,ORD00000052,301,PRD-0021,3,434,2023-05-19 10:35:09,2023-05-23 10:35:09,2023-06-01 10:35:09,Store,Delivered
53,ORD00000053,38,PRD-0023,1,1104,2022-02-12 02:47:39,2022-02-15 02:47:39,2022-02-27 02:47:39,Phone,Cancelled
54,ORD00000054,71,PRD-0030,1,766,2022-07-27 21:58:34,2022-07-31 21:58:34,2022-08-03 21:58:34,Store,Delivered
55,ORD00000055,634,PRD-0030,2,810,2023-09-05 02:23:36,2023-09-07 02:23:36,2023-09-16 02:23:36,Web,Delivered
56,ORD00000056,586,PRD-0010,4,337,2022-09-09 06:37:11,2022-09-11 06:37:11,2022-09-18 06:37:11,Phone,Delivered
57,ORD00000057,10,PRD-0013,3,1104,2023-02-28 08:55:12,2023-03-02 08:55:12,2023-03-13 08:55:12,Web,Returned
58,ORD00000058,198,PRD-0004,4,1351,2022-01-02 15:05:15,2022-01-04 15:05:15,2022-01-11 15:05:15,Store,Delivered
59,ORD00000059,602,PRD-0005,1,551,2021-11-23 12:13:40,2021-11-27 12:13:40,2021-12-02 12:13:40,Store,Pending
60,ORD00000060,574,PRD-0002,1,650,2020-10-07 10:07:52,2020-10-08 10:07:52,2020-10-20 10:07:52,Web,Returned
61,ORD00000061,750,PRD-0005,2,1383,2024-09-21 16:07:34,2024-09-25 16:07:34,2024-09-28 16:07:34,Phone,Cancelled
62,ORD00000062,210,PRD-0018,4,588,2022-05-09 10:04:51,2022-05-13 10:04:51,2022-05-21 10:04:51,Web,Returned
63,ORD00000063,367,PRD-0019,3,505,2023-07-13 10:54:44,2023-07-16 10:54:44,2023-07-28 10:54:44,Phone,Pending
64,ORD00000064,384,PRD-0002,4,1862,2022-05-18 09:51:33,2022-05-22 09:51:33,2022-05-29 09:51:33,Store,Cancelled
65,ORD00000065,388,PRD-0008,3,1461,2021-06-14 06:10:37,2021-06-17 06:10:37,2021-06-26 06:10:37,Web,Delivered
66,ORD00000066,142,PRD-0016,4,1127,2023-01-15 09:51:53,2023-01-17 09:51:53,2023-01-23 09:51:53,Phone,Delivered
67,ORD00000067,9,PRD-0024,1,1447,2023-02-08 23:46:53,2023-02-11 23:46:53,2023-02-16 23:46:53,Web,Delivered
68,ORD00000068,218,PRD-0014,4,868,2025-09-11 22:59:35,2025-09-12 22:59:35,2025-09-23 22:59:35,Phone,Cancelled
69,ORD00000069,285,PRD-0021,2,961,2022-12-12 17:27:25,2022-12-13 17:27:25,2022-12-16 17:27:25,Phone,Cancelled
70,ORD00000070,532,PRD-0022,2,1571,2021-03-27 23:59:04,2021-03-28 23:59:04,2021-04-02 23:59:04,Store,Returned
71,ORD00000071,352,PRD-0015,1,629,2023-10-15 15:28:45,2023-10-18 15:28:45,2023-10-22 15:28:45,Store,Returned
72,ORD00000072,280,PRD-0004,4,1574,2024-06-27 10:29:27,2024-07-01 10:29:27,2024-07-13 10:29:27,Phone,Returned
73,ORD00000073,541,PRD-0030,2,1841,2025-03-06 07:35:08,2025-03-09 07:35:08,2025-03-13 07:35:08,Store,Returned
74,ORD00000074,307,PRD-0008,2,1522,2021-08-29 08:05:41,2021-09-01 08:05:41,2021-09-05 08:05:41,Web,Pending
75,ORD00000075,175,PRD-0019,2,1397,2023-03-07 12:38:08,2023-03-11 12:38:08,2023-03-19 12:38:08,Phone,Pending
76,ORD00000076,19,PRD-0015,1,1173,2025-11-28 20:52:03,2025-11-29 20:52:03,2025-12-06 20:52:03,Phone,Pending
77,ORD00000077,648,PRD-0027,4,1498,2022-11-02 23:20:01,2022-11-06 23:20:01,2022-11-14 23:20:01,Web,Delivered
78,ORD00000078,55,PRD-0002,4,744,2025-04-11 17:59:06,2025-04-12 17:59:06,2025-04-24 17:59:06,Phone,Pending
79,ORD00000079,483,PRD-0015,2,1206,2024-09-27 02:11:44,2024-09-30 02:11:44,2024-10-03 02:11:44,Store,Returned
80,ORD00000080,388,PRD-0005,3,1154,2022-01-30 19:56:24,2022-02-02 19:56:24,2022-02-05 19:56:24,Store,Pending
81,ORD00000081,425,PRD-0012,4,927,2020-03-10 17:23:05,2020-03-13 17:23:05,2020-03-16 17:23:05,Phone,Returned
82,ORD00000082,367,PRD-0021,2,1327,2022-09-19 01:18:52,2022-09-22 01:18:52,2022-09-30 01:18:52,Phone,Cancelled
83,ORD00000083,372,PRD-0010,3,739,2025-04-11 03:07:00,2025-04-14 03:07:00,2025-04-23 03:07:00,Store,Delivered
84,ORD00000084,315,PRD-0006,4,1854,2023-04-25 05:46:13,2023-04-26 05:46:13,2023-05-03 05:46:13,Web,Cancelled
85,ORD00000085,713,PRD-0025,3,522,2024-01-17 11:42:36,2024-01-21 11:42:36,2024-01-24 11:42:36,Web,Cancelled
86,ORD00000086,706,PRD-0017,1,1381,2022-01-10 12:54:16,2022-01-14 12:54:16,2022-01-26 12:54:16,Phone,Delivered
87,ORD00000087,310,PRD-0001,4,1013,2024-10-09 20:56:29,2024-10-10 20:56:29,2024-10-19 20:56:29,Phone,Returned
88,ORD00000088,610,PRD-0018,1,1407,2021-06-16 12:59:15,2021-06-19 12:59:15,2021-06-22 12:59:15,Web,Delivered
89,ORD00000089,10,PRD-0027,4,1584,2023-05-15 22:27:37,2023-05-17 22:27:37,2023-05-22 22:27:37,Phone,Returned
90,ORD00000090,579,PRD-0026,2,527,2020-03-09 19:53:08,2020-03-12 19:53:08,2020-03-17 19:53:08,Phone,Returned
91,ORD00000091,496,PRD-0017,2,411,2024-12-15 19:28:09,2024-12-16 19:28:09,2024-12-24 19:28:09,Web,Returned
92,ORD00000092,642,PRD-0004,2,467,2023-11-25 09:12:04,2023-11-29 09:12:04,2023-12-03 09:12:04,Web,Pending
93,ORD00000093,496,PRD-0009,1,1320,2024-07-01 05:42:09,2024-07-02 05:42:09,2024-07-15 05:42:09,Store,Pending
94,ORD00000094,208,PRD-0003,2,944,2023-08-24 19:27:13,2023-08-27 19:27:13,2023-09-09 19:27:13,Web,Pending
95,ORD00000095,361,PRD-0030,1,1983,2020-10-24 19:54:28,2020-10-26 19:54:28,2020-11-06 19:54:28,Web,Cancelled
96,ORD00000096,662,PRD-0004,4,955,2025-09-24 03:32:59,2025-09-26 03:32:59,2025-10-09 03:32:59,Web,Delivered
97,ORD00000097,384,PRD-0003,3,1176,2021-07-14 20:12:07,2021-07-17 20:12:07,2021-07-30 20:12:07,Web,Pending
98,ORD00000098,168,PRD-0006,2,1638,2021-11-20 01:16:53,2021-11-23 01:16:53,2021-11-29 01:16:53,Web,Pending
99,ORD00000099,72,PRD-0005,1,1005,2023-10-22 19:17:51,2023-10-24 19:17:51,2023-10-29 19:17:51,Web,Returned
100,ORD00000100,371,PRD-0021,3,536,2024-09-08 09:12:52,2024-09-12 09:12:52,2024-09-21 09:12:52,Store,Returned
101,ORD00000101,494,PRD-0023,1,1920,2021-03-30 21:03:08,2021-04-01 21:03:08,2021-04-14 21:03:08,Store,Delivered
102,ORD00000102,350,PRD-0013,3,715,2024-11-09 11:06:51,2024-11-12 11:06:51,2024-11-16 11:06:51,Store,Returned
103,ORD00000103,749,PRD-0004,4,1423,2024-01-22 21:57:50,2024-01-26 21:57:50,2024-02-06 21:57:50,Store,Cancelled
104,ORD00000104,262,PRD-0024,2,403,2024-07-07 09:47:08,2024-07-08 09:47:08,2024-07-21 09:47:08,Phone,Cancelled
105,ORD00000105,551,PRD-0014,2,1070,2023-05-07 05:13:37,2023-05-10 05:13:37,2023-05-21 05:13:37,Store,Pending
106,ORD00000106,101,PRD-0006,3,1804,2023-01-16 01:28:37,2023-01-17 01:28:37,2023-01-30 01:28:37,Phone,Pending
107,ORD00000107,43,PRD-0026,2,1395,2021-12-13 03:21:55,2021-12-14 03:21:55,2021-12-23 03:21:55,Phone,Delivered
108,ORD00000108,459,PRD-0030,3,437,2024-11-08 19:33:32,2024-11-09 19:33:32,2024-11-17 19:33:32,Web,Pending
109,ORD00000109,719,PRD-0024,3,1380,2022-09-13 22:53:34,2022-09-14 22:53:34,2022-09-20 22:53:34,Store,Returned
110,ORD00000110,60,PRD-0020,2,1568,2020-07-08 00:53:38,2020-07-11 00:53:38,2020-07-17 00:53:38,Store,Cancelled
111,ORD00000111,383,PRD-0026,1,932,2025-04-13 04:15:29,2025-04-15 04:15:29,2025-04-21 04:15:29,Web,Pending
112,ORD00000112,391,PRD-0006,4,1896,2024-09-03 22:53:23,2024-09-05 22:53:23,2024-09-08 22:53:23,Web,Pending
113,ORD00000113,566,PRD-0029,1,747,2023-11-22 10:44:41,2023-11-23 10:44:41,2023-11-29 10:44:41,Phone,Pending
114,ORD00000114,598,PRD-0014,3,1504,2021-02-18 21:24:54,2021-02-19 21:24:54,2021-02-27 21:24:54,Web,Returned
115,ORD00000115,616,PRD-0029,2,1559,2025-07-06 21:32:09,2025-07-10 21:32:09,2025-07-15 21:32:09,Store,Cancelled
116,ORD00000116,348,PRD-0002,3,1117,2023-05-26 19:03:34,2023-05-29 19:03:34,2023-06-02 19:03:34,Store,Cancelled
117,ORD00000117,392,PRD-0010,4,336,2024-01-16 11:13:46,2024-01-17 11:13:46,2024-01-22 11:13:46,Web,Returned
118,ORD00000118,57,PRD-0028,3,540,2024-01-16 00:12:48,2024-01-17 00:12:48,2024-01-25 00:12:48,Phone,Delivered
119,ORD00000119,699,PRD-0029,3,631,2025-02-03 01:27:24,2025-02-05 01:27:24,2025-02-18 01:27:24,Phone,Returned
120,ORD00000120,409,PRD-0004,1,975,2024-07-16 23:50:17,2024-07-20 23:50:17,2024-07-31 23:50:17,Web,Cancelled
121,ORD00000121,201,PRD-0012,2,699,2020-04-01 08:25:31,2020-04-03 08:25:31,2020-04-13 08:25:31,Web,Returned
122,ORD00000122,672,PRD-0022,4,1795,2022-06-05 13:44:32,2022-06-08 13:44:32,2022-06-16 13:44:32,Store,Delivered
123,ORD00000123,533,PRD-0021,1,443,2024-02-16 23:58:47,2024-02-20 23:58:47,2024-03-03 23:58:47,Store,Pending
124,ORD00000124,470,PRD-0024,4,374,2025-07-22 15:06:40,2025-07-26 15:06:40,2025-08-08 15:06:40,Phone,Returned
125,ORD00000125,483,PRD-0022,1,483,2022-06-21 03:42:24,2022-06-23 03:42:24,2022-07-04 03:42:24,Web,Pending
126,ORD00000126,484,PRD-0002,1,1240,2021-08-13 02:24:30,2021-08-15 02:24:30,2021-08-18 02:24:30,Phone,Pending
127,ORD00000127,152,PRD-0010,2,1626,2020-10-21 16:59:19,2020-10-22 16:59:19,2020-10-31 16:59:19,Store,Cancelled
128,ORD00000128,708,PRD-0001,2,1564,2022-01-08 03:32:56,2022-01-11 03:32:56,2022-01-19 03:32:56,Phone,Returned
129,ORD00000129,461,PRD-0007,4,1041,2022-04-05 05:41:53,2022-04-08 05:41:53,2022-04-14 05:41:53,Phone,Pending
130,ORD00000130,106,PRD-0005,1,1436,2025-05-11 12:05:03,2025-05-14 12:05:03,2025-05-22 12:05:03,Phone,Pending
131,ORD00000131,561,PRD-0030,2,1116,2024-10-13 06:34:09,2024-10-17 06:34:09,2024-10-29 06:34:09,Store,Cancelled
132,ORD00000132,264,PRD-0009,1,922,2020-11-17 18:03:52,2020-11-20 18:03:52,2020-11-25 18:03:52,Web,Pending
133,ORD00000133,296,PRD-0014,2,1119,2025-02-10 01:34:25,2025-02-11 01:34:25,2025-02-24 01:34:25,Phone,Returned
134,ORD00000134,623,PRD-0022,2,839,2024-01-28 13:24:25,2024-01-29 13:24:25,2024-02-07 13:24:25,Phone,Cancelled
135,ORD00000135,451,PRD-0027,1,1261,2020-12-15 01:16:45,2020-12-17 01:16:45,2020-12-24 01:16:45,Web,Returned
136,ORD00000136,719,PRD-0008,3,715,2025-07-01 16:17:29,2025-07-02 16:17:29,2025-07-11 16:17:29,Web,Returned
137,ORD00000137,478,PRD-0021,4,1844,2025-10-31 21:47:04,2025-11-03 21:47:04,2025-11-09 21:47:04,Phone,Pending
138,ORD00000138,444,PRD-0030,4,1132,2025-03-19 04:19:52,2025-03-23 04:19:52,2025-03-29 04:19:52,Web,Pending
139,ORD00000139,252,PRD-0016,4,1590,2022-03-30 22:27:52,2022-03-31 22:27:52,2022-04-12 22:27:52,Web,Delivered
140,ORD00000140,406,PRD-0014,4,1692,2025-12-21 02:56:41,2025-12-24 02:56:41,2026-01-06 02:56:41,Web,Returned
141,ORD00000141,396,PRD-0022,3,1795,2023-04-15 00:12:11,2023-04-19 00:12:11,2023-04-27 00:12:11,Phone,Delivered
142,ORD00000142,660,PRD-0014,1,318,2022-06-04 19:34:26,2022-06-05 19:34:26,2022-06-17 19:34:26,Phone,Pending
143,ORD00000143,58,PRD-0012,1,1770,2023-03-31 02:17:35,2023-04-04 02:17:35,2023-04-08 02:17:35,Phone,Cancelled
144,ORD00000144,10,PRD-0024,1,1122,2024-07-14 15:21:56,2024-07-15 15:21:56,2024-07-25 15:21:56,Phone,Delivered
145,ORD00000145,272,PRD-0016,3,1509,2020-09-26 15:52:32,2020-09-27 15:52:32,2020-10-05 15:52:32,Store,Pending
146,ORD00000146,136,PRD-0018,1,1363,2021-01-27 12:41:26,2021-01-28 12:41:26,2021-01-31 12:41:26,Web,Cancelled
147,ORD00000147,69,PRD-0017,2,1948,2020-09-03 04:07:52,2020-09-06 04:07:52,2020-09-18 04:07:52,Phone,Cancelled
148,ORD00000148,433,PRD-0018,4,1949,2024-09-05 06:37:42,2024-09-07 06:37:42,2024-09-13 06:37:42,Web,Pending
149,ORD00000149,503,PRD-0026,4,1646,2024-08-30 13:23:37,2024-08-31 13:23:37,2024-09-03 13:23:37,Store,Pending
150,ORD00000150,592,PRD-0024,3,1057,2022-09-23 15:10:57,2022-09-27 15:10:57,2022-10-04 15:10:57,Phone,Pending
151,ORD00000151,390,PRD-0013,2,1104,2021-02-24 04:56:17,2021-02-25 04:56:17,2021-03-02 04:56:17,Web,Cancelled
152,ORD00000152,530,PRD-0009,3,944,2025-06-16 17:36:37,2025-06-19 17:36:37,2025-07-02 17:36:37,Web,Delivered
153,ORD00000153,206,PRD-0003,1,908,2021-07-24 13:35:57,2021-07-28 13:35:57,2021-08-01 13:35:57,Phone,Pending
154,ORD00000154,143,PRD-0015,3,1441,2024-12-09 23:26:26,2024-12-10 23:26:26,2024-12-18 23:26:26,Web,Returned
155,ORD00000155,174,PRD-0017,3,599,2020-03-05 12:42:55,2020-03-08 12:42:55,2020-03-18 12:42:55,Store,Returned
156,ORD00000156,411,PRD-0023,4,321,2025-09-17 01:30:28,2025-09-19 01:30:28,2025-09-28 01:30:28,Store,Pending
157,ORD00000157,51,PRD-0019,3,1294,2024-06-11 06:36:38,2024-06-15 06:36:38,2024-06-27 06:36:38,Phone,Cancelled
158,ORD00000158,421,PRD-0020,2,394,2020-05-18 00:48:25,2020-05-19 00:48:25,2020-05-25 00:48:25,Store,Pending
159,ORD00000159,529,PRD-0002,3,700,2020-06-07 20:59:42,2020-06-10 20:59:42,2020-06-22 20:59:42,Web,Delivered
160,ORD00000160,721,PRD-0018,2,1411,2025-03-08 05:42:27,2025-03-11 05:42:27,2025-03-15 05:42:27,Web,Returned
161,ORD00000161,577,PRD-0014,3,1799,2021-02-23 20:07:21,2021-02-26 20:07:21,2021-03-09 20:07:21,Web,Delivered
162,ORD00000162,710,PRD-0009,3,1974,2022-08-06 08:34:12,2022-08-07 08:34:12,2022-08-20 08:34:12,Web,Pending
163,ORD00000163,319,PRD-0008,4,1257,2021-05-11 21:03:56,2021-05-12 21:03:56,2021-05-25 21:03:56,Web,Cancelled
164,ORD00000164,218,PRD-0021,2,1792,2020-12-20 23:33:17,2020-12-22 23:33:17,2021-01-04 23:33:17,Web,Cancelled
165,ORD00000165,672,PRD-0021,3,1275,2021-04-14 09:43:29,2021-04-18 09:43:29,2021-04-22 09:43:29,Store,Cancelled
166,ORD00000166,347,PRD-0013,1,571,2023-11-13 17:06:11,2023-11-15 17:06:11,2023-11-27 17:06:11,Store,Pending
167,ORD00000167,294,PRD-0015,3,1512,2020-09-27 16:09:38,2020-09-30 16:09:38,2020-10-03 16:09:38,Web,Returned
168,ORD00000168,9,PRD-0005,2,550,2022-05-10 12:03:32,2022-05-13 12:03:32,2022-05-22 12:03:32,Web,Pending
169,ORD00000169,742,PRD-0020,2,1289,2020-06-05 03:18:36,2020-06-06 03:18:36,2020-06-14 03:18:36,Store,Pending
170,ORD00000170,125,PRD-0007,2,683,2024-11-05 03:39:04,2024-11-08 03:39:04,2024-11-12 03:39:04,Store,Delivered
171,ORD00000171,106,PRD-0013,4,1465,2025-02-21 19:16:49,2025-02-24 19:16:49,2025-02-28 19:16:49,Web,Cancelled
172,ORD00000172,356,PRD-0010,3,1727,2023-09-20 02:27:25,2023-09-21 02:27:25,2023-10-02 02:27:25,Store,Pending
173,ORD00000173,459,PRD-0023,4,740,2025-03-16 00:08:29,2025-03-18 00:08:29,2025-03-22 00:08:29,Web,Cancelled
174,ORD00000174,265,PRD-0014,3,1117,2020-05-06 20:47:26,2020-05-09 20:47:26,2020-05-14 20:47:26,Web,Returned
175,ORD00000175,135,PRD-0026,1,1971,2022-08-04 10:01:14,2022-08-05 10:01:14,2022-08-18 10:01:14,Store,Cancelled
176,ORD00000176,663,PRD-0004,1,1157,2022-05-29 06:50:33,2022-05-30 06:50:33,2022-06-04 06:50:33,Phone,Cancelled
177,ORD00000177,30,PRD-0029,1,837,2021-09-08 09:06:29,2021-09-10 09:06:29,2021-09-22 09:06:29,Store,Returned
178,ORD00000178,95,PRD-0016,2,1576,2022-08-23 04:35:11,2022-08-26 04:35:11,2022-08-30 04:35:11,Store,Delivered
179,ORD00000179,540,PRD-0013,3,1984,2025-02-03 06:22:05,2025-02-07 06:22:05,2025-02-13 06:22:05,Phone,Returned
180,ORD00000180,259,PRD-0003,4,1518,2020-07-20 21:24:41,2020-07-24 21:24:41,2020-07-27 21:24:41,Store,Delivered
181,ORD00000181,738,PRD-0001,2,1518,2024-04-14 01:47:17,2024-04-15 01:47:17,2024-04-20 01:47:17,Web,Delivered
182,ORD00000182,23,PRD-0025,2,471,2025-11-01 12:35:39,2025-11-03 12:35:39,2025-11-06 12:35:39,Store,Pending
183,ORD00000183,691,PRD-0019,2,390,2020-09-11 23:41:12,2020-09-15 23:41:12,2020-09-27 23:41:12,Store,Returned
184,ORD00000184,64,PRD-0025,1,1194,2022-06-28 01:43:36,2022-06-29 01:43:36,2022-07-02 01:43:36,Web,Delivered
185,ORD00000185,283,PRD-0026,1,1066,2021-06-15 10:45:26,2021-06-18 10:45:26,2021-06-26 10:45:26,Store,Pending
186,ORD00000186,230,PRD-0018,4,747,2024-11-06 13:14:53,2024-11-10 13:14:53,2024-11-23 13:14:53,Store,Pending
187,ORD00000187,399,PRD-0022,4,1491,2024-03-17 23:36:44,2024-03-19 23:36:44,2024-04-01 23:36:44,Phone,Cancelled
188,ORD00000188,494,PRD-0025,2,1713,2021-12-29 17:30:58,2022-01-02 17:30:58,2022-01-10 17:30:58,Web,Cancelled
189,ORD00000189,611,PRD-0026,4,1562,2022-12-15 05:34:13,2022-12-18 05:34:13,2022-12-30 05:34:13,Phone,Cancelled
190,ORD00000190,335,PRD-0026,1,1371,2024-05-28 16:05:17,2024-06-01 16:05:17,2024-06-12 16:05:17,Store,Pending
191,ORD00000191,727,PRD-0014,4,1544,2023-03-07 15:06:43,2023-03-10 15:06:43,2023-03-18 15:06:43,Web,Returned
192,ORD00000192,608,PRD-0016,3,398,2020-11-25 16:51:36,2020-11-29 16:51:36,2020-12-06 16:51:36,Phone,Delivered
193,ORD00000193,709,PRD-0013,4,670,2021-12-09 21:47:22,2021-12-12 21:47:22,2021-12-25 21:47:22,Web,Delivered
194,ORD00000194,4,PRD-0001,4,322,2020-11-25 10:51:25,2020-11-27 10:51:25,2020-12-09 10:51:25,Phone,Cancelled
195,ORD00000195,544,PRD-0012,4,1022,2020-03-25 04:18:19,2020-03-27 04:18:19,2020-04-07 04:18:19,Phone,Cancelled
196,ORD00000196,497,PRD-0017,3,1115,2022-04-03 19:32:09,2022-04-07 19:32:09,2022-04-18 19:32:09,Phone,Delivered
197,ORD00000197,696,PRD-0007,4,1914,2024-11-15 00:36:23,2024-11-17 00:36:23,2024-11-23 00:36:23,Phone,Returned
198,ORD00000198,85,PRD-0017,2,1491,2023-04-10 00:17:45,2023-04-14 00:17:45,2023-04-20 00:17:45,Phone,Returned
199,ORD00000199,445,PRD-0010,4,1304,2022-01-20 08:17:23,2022-01-24 08:17:23,2022-02-02 08:17:23,Web,Delivered
